Text,Sentiment,cleaned_text
ZNGA broke out of a consolidation range to the upside. I don't see anything until the 3-3.06 area  ,1,znga broke out of a consolidation range to the upside. i dont see anything until the 33.06 area
GEVO Pullback on very low volume. All dips should be bought with a stop 1.75.Watch for next leg up  ,1,gevo pullback on very low volume. all dips should be bought with a stop 1.75.watch for next leg up
DDD still falling in pre-market.,-1,ddd still falling in premarket.
"Time to all in short AX AMZN NTAP IBM. #cloud-is-dead, iPads now coming in 128Gb version AAP eally Tim? That's all you've got? ",-1,time to all in short ax amzn ntap ibm. cloudisdead ipads now coming in 128gb version aap eally tim thats all youve got
NGT #FED up to bat... JPM HSBC headed into Comex & ME for todays bashing,-1,ngt fed up to bat... jpm hsbc headed into comex me for todays bashing
AAP we knew these 440 calls purchased yesterday were the right move. AAP NEEDED to save their stock with a release like this temporarily,1,aap we knew these 440 calls purchased yesterday were the right move. aap needed to save their stock with a release like this temporarily
"user Sorry but only innovative thing AAP has done over last 2yrs is change size, shape, memory size, crappy map, & snippy siri.",-1,user sorry but only innovative thing aap has done over last 2yrs is change size shape memory size crappy map snippy siri.
BTO AMZN Feb 16 210 puts for 1. olling the dice!,-1,bto amzn feb 16 210 puts for 1. olling the dice
like that consol above 455 for aapl. stop is below 454,1,like that consol above 455 for aapl. stop is below 454
mrge flag break. like this look here added a few 2.88  ,1,mrge flag break. like this look here added a few 2.88
DVN Breaking out from this saucer base. like toward 58  ,1,dvn breaking out from this saucer base. like toward 58
YHOO  Yahoo is a iberal hangout. History shows us that those who love big government always lose out in the end.,-1,yhoo yahoo is a iberal hangout. history shows us that those who love big government always lose out in the end.
"yhoo  short term buyers speculating on a NFX type move up are fleeing here. ental traders shaking out here, long term investors shud buy",1,yhoo short term buyers speculating on a nfx type move up are fleeing here. ental traders shaking out here long term investors shud buy
YHOO short interest ratio is skewed because there are less shares outstanding since buyback imo,1,yhoo short interest ratio is skewed because there are less shares outstanding since buyback imo
ADJPY - sitting here with my SPY puts and ENOC. Only positions.  ,-1,adjpy sitting here with my spy puts and enoc. only positions.
"user: If you bought my stock of the year HES, you are now up 26% YTD - sell at least 1/2 ",1,user if you bought my stock of the year hes you are now up 26% ytd sell at least 12
GS my trade against the 8SMA from yesterday is paying today. Volume is above average too. Will trim some.,1,gs my trade against the 8sma from yesterday is paying today. volume is above average too. will trim some.
KEX trying a short 8.47 filled and more at 8.57 with a .10 stop,-1,kex trying a short 8.47 filled and more at 8.57 with a .10 stop
"ed Weekly Triangle on PBY,....Net Profit  19,140.00 (16.48%)  ",-1,ed weekly triangle on pby....net profit 19140.00 16.48%
yhoo Will Brokerages come out with pgrades/Downgrades this week? Will they pgrade or Downgrade the stock? could make + or- 3 point diff,1,yhoo will brokerages come out with pgradesdowngrades this week will they pgrade or downgrade the stock could make or 3 point diff
"Green Weekly Triangle on PBY,....Open Sell Short at 10.95  ",-1,green weekly triangle on pby....open sell short at 10.95
DDD wow - nice swing if you caught the bottom pre market,1,ddd wow nice swing if you caught the bottom pre market
"Green Weekly Triangle on KTOS,...Net Profit 1,236.00 (1.22%) gly Profit  ",1,green weekly triangle on ktos...net profit 1236.00 1.22% gly profit
"AMZN 1,200 lot bid in the Feb weekly 255P. 27 delta, could push market down or create resistance in the stock. Will probably bid up IV",-1,amzn 1200 lot bid in the feb weekly 255p. 27 delta could push market down or create resistance in the stock. will probably bid up iv
AAP ready...460 c 5.05,1,aap ready...460 c 5.05
DECK pulling back for possible good entry long calls I like DECK130216C40 at 1.95 run into earnings  ,1,deck pulling back for possible good entry long calls i like deck130216c40 at 1.95 run into earnings
Procter PG breaks out - Today up 1.37% - It's one of my biggest positons with over 4% portfolio share. How big is Procter for you?,1,procter pg breaks out today up 1.37% its one of my biggest positons with over 4% portfolio share. how big is procter for you
"Green Weekly Triangle on AMPE,....Net Profit  22,293.00 (18.42%)  ",1,green weekly triangle on ampe....net profit 22293.00 18.42%
CSN 413K worth sold in block trades so far today... The Celsion roller coaster is making people sick on here...  ,1,csn 413k worth sold in block trades so far today... the celsion roller coaster is making people sick on here...
GNC (power generators) is perking up again,1,gnc power generators is perking up again
CSN Buying more!,1,csn buying more
"MDSO - ong  27.51. Trailing Stop  37.67 from 9 prior Stops of 37.11, 37.00, 31.30 ... 27.51, 25.15 and 22.79 -  ",1,mdso ong 27.51. trailing stop 37.67 from 9 prior stops of 37.11 37.00 31.30 ... 27.51 25.15 and 22.79
kbh breakout coming? Next stop 23?,1,kbh breakout coming next stop 23
GS ippin' good today,1,gs ippin good today
DE continues to make new highs since breaking out on 1/2  ,1,de continues to make new highs since breaking out on 12
GOOG holding up well,1,goog holding up well
GS is a no brainer trade to 149+ pretty soon.,1,gs is a no brainer trade to 149 pretty soon.
GS Goldman breaking out of EBV-2. Good sign for GS and the market.  ,1,gs goldman breaking out of ebv2. good sign for gs and the market.
GS is breaking out of bull flag. ow volume but technicals look good  ,1,gs is breaking out of bull flag. ow volume but technicals look good
"TES strong run up to resistance, moving stop up again  ",1,tes strong run up to resistance moving stop up again
ong positions: ANA FB HES IMM SHD WCX,1,ong positions ana fb hes imm shd wcx
"CEN chomping at the bit here to clear 84 at the 78.6% retrace, earnings next Tuesday 2/5  ",1,cen chomping at the bit here to clear 84 at the 78.6% retrace earnings next tuesday 25
GS all of all remaining calls. Will revisit later. ooks good though.,1,gs all of all remaining calls. will revisit later. ooks good though.
AAP Dow Theory = Volume must confirmed the trend (When the volume doesn't support the trend)  ,-1,aap dow theory volume must confirmed the trend when the volume doesnt support the trend
AMZN how low will it go?,-1,amzn how low will it go
GOOG deciding what strike to buy into the close for calls. AAP has been flagging since yesterday.,1,goog deciding what strike to buy into the close for calls. aap has been flagging since yesterday.
M - the breakout updated   ,1,m the breakout updated
GPO on watch list at the line with volume of 75% of average full day   ,1,gpo on watch list at the line with volume of 75% of average full day
VXY GS just keeps buying ES_F futures contracts with #FED funny money - why fight it?,-1,vxy gs just keeps buying es_f futures contracts with fed funny money why fight it
in GEVO.,1,in gevo.
"user good, because that is what I did today, it is in a green weekly triangle since Jan 23 SNSS",-1,user good because that is what i did today it is in a green weekly triangle since jan 23 snss
like is said....don't fight the jungle. AMZN,1,like is said....dont fight the jungle. amzn
"Didn't plan on holding these MSFT Apr. calls overnight again, but when do things ever go as planned?",1,didnt plan on holding these msft apr. calls overnight again but when do things ever go as planned
AMZN a fool's errand,1,amzn a fools errand
"Tops- :  HPQ (-3,17%) &  CSCO (-1,38%)",-1,tops hpq 317% csco 138%
Jeff Bezo's the wizard...it's all about Gross Margins and theirs are getting less gross...AMAZON reads Wall Street's minds AMZN,-1,jeff bezos the wizard...its all about gross margins and theirs are getting less gross...amazon reads wall streets minds amzn
"Boy if aapl had beat I would be having a hell of a January :) ... ahhhh, the markets !",1,boy if aapl had beat i would be having a hell of a january ... ahhhh the markets
user: Solar Stock Sector Bottoming... TAN TS FS STP  ,1,user solar stock sector bottoming... tan ts fs stp
Market loves AMZN for showing its middle finger to Dumb Media,1,market loves amzn for showing its middle finger to dumb media
CHK  Confirming the expectation.  Other set ups that I like:  IMM COST AAP etc.  ,1,chk confirming the expectation. other set ups that i like imm cost aap etc.
"ed Weekly Triangle on SNSS,....Net Profit  16,644.00 (9.17%)  ",-1,ed weekly triangle on snss....net profit 16644.00 9.17%
AMZN has spent 15 yrs not caring about qtr to qtr. Others can't turned on a dime and say we do that from now on.,1,amzn has spent 15 yrs not caring about qtr to qtr. others cant turned on a dime and say we do that from now on.
"user: IMM I love to short, They are just revealing a phone (that everyone has seen it does not make you younger) think ip5 aapl",-1,user imm i love to short they are just revealing a phone that everyone has seen it does not make you younger think ip5 aapl
PCN up 8 points since this short call on ST - 700 so close - magic number will break it hard down same way did up - 10 more pts to go,-1,pcn up 8 points since this short call on st 700 so close magic number will break it hard down same way did up 10 more pts to go
GOOG patience still here - mkt goes red big so does this,-1,goog patience still here mkt goes red big so does this
user: XOM - target 89.50 - mkt goes red big tomorrow so does this - lead the pack down,-1,user xom target 89.50 mkt goes red big tomorrow so does this lead the pack down
"If you've been playing poker for half an hour and you still don't know who the patsy is, you're the patsy.? Buffett on AMZN shorties",1,if youve been playing poker for half an hour and you still dont know who the patsy is youre the patsy. buffett on amzn shorties
"Market Wrap Video + Additions to Watch ist  including: FS, JCP, , NAVB, VMC",1,market wrap video additions to watch ist including fs jcp navb vmc
"AMZN, Hunting elephants,,,a plan, patience, execution, patience, and more patience...  ",-1,amzn hunting elephantsa plan patience execution patience and more patience...
"Speaking of vehicles, this going on my bucket list DE HOG #Harley #Deere #love their new venture!  ",1,speaking of vehicles this going on my bucket list de hog harley deere love their new venture
MCS triggered last week and is pulling back on lighter volume so watch for reversal by support   ,1,mcs triggered last week and is pulling back on lighter volume so watch for reversal by support
"Man AMZN is so great, even the Fed is hosted on an ec2 instance.",1,man amzn is so great even the fed is hosted on an ec2 instance.
BAC See some negative price action here tomorrow most likely.,-1,bac see some negative price action here tomorrow most likely.
From Nasdaq site : NVDA NVIDIA Building iPhone and iPad Competitors   ,1,from nasdaq site nvda nvidia building iphone and ipad competitors
Bought NH to open . ooks like a new trend,1,bought nh to open . ooks like a new trend
FS from watch list just over line with volume of 8% of full day average   ,1,fs from watch list just over line with volume of 8% of full day average
SD thx user - daily   ,1,sd thx user daily
"been talking CSOD, keep your eye on it today",1,been talking csod keep your eye on it today
"From user: Hess has two proposed plans for unlocking value, and either looks promising for investors. HES  ",1,from user hess has two proposed plans for unlocking value and either looks promising for investors. hes
NGT Dumping pop on #FED JPM and CB intervention in  GD SV GDX HI GOX GDXJ,-1,ngt dumping pop on fed jpm and cb intervention in gd sv gdx hi gox gdxj
"AA BA HD Top + Dow Jones: Alcoa (+0,84%) & Boeing (+0,54%)",1,aa ba hd top dow jones alcoa 084% boeing 054%
IMM lol AAP-tlye presentation - get creative guys,-1,imm lol aaptlye presentation get creative guys
MOT CBI on top watchlist waiting for vol MOT above .50 and CBI over 1.68 see what happens,1,mot cbi on top watchlist waiting for vol mot above .50 and cbi over 1.68 see what happens
stopped out of CS at 28.50 from 28.71 earlier sorry for the delay,-1,stopped out of cs at 28.50 from 28.71 earlier sorry for the delay
"Green Weekly Triangle on GTE,...Net Profit  4,333.00 (3.14%)  ",1,green weekly triangle on gte...net profit 4333.00 3.14%
KEX Option Traders continue bullish trading in the stock buying a net 589K deltas in the first hour of trading  ,1,kex option traders continue bullish trading in the stock buying a net 589k deltas in the first hour of trading
like to see more volume but I'm leaning toward CBI off the BPAX profit taking moving into CBI see what happens buystop at 1.67,1,like to see more volume but im leaning toward cbi off the bpax profit taking moving into cbi see what happens buystop at 1.67
"iding FIE down, lots to go",-1,iding fie down lots to go
My hot money canary DDD and SSYS reversing lower...,-1,my hot money canary ddd and ssys reversing lower...
VXY AAP bottom looks in - Add FAS here #FED-Short more VXY acct vacuum cleaner - GDP is OD Sandy news - We have relief funds in now,-1,vxy aap bottom looks in add fas here fedshort more vxy acct vacuum cleaner gdp is od sandy news we have relief funds in now
"NS should start to slide here just like HF, that MM that was shut down in KY is having ramifications imo, longs getting nervous...",-1,ns should start to slide here just like hf that mm that was shut down in ky is having ramifications imo longs getting nervous...
"BT Cortos en Peabody Energy si cae bajo 25,40. Stop loss 25,76.",-1,bt cortos en peabody energy si cae bajo 2540. stop loss 2576.
"user: BT Short in Peabody Energy if goes bellow 25,40. Stop loss 25,76.",-1,user bt short in peabody energy if goes bellow 2540. stop loss 2576.
"user: BT Cortos en Peabody Energy si cae bajo 25,40. Stop loss 25,76.",-1,user bt cortos en peabody energy si cae bajo 2540. stop loss 2576.
MGAM on watchlist (no position)  ,1,mgam on watchlist no position
NGT GDX GDXJ Short GOD & Miners into FOMC - JPM notes,-1,ngt gdx gdxj short god miners into fomc jpm notes
"Same story, different day...eaders lagging, aggards eading as ES_F fighting off bears. AKS QIH Y EN KOS   ",-1,same story different day...eaders lagging aggards eading as es_f fighting off bears. aks qih y en kos
DEPO bouncing from the 50% Fibo line & breaking out 6.70 resistance line all indicators BISH  ,1,depo bouncing from the 50% fibo line breaking out 6.70 resistance line all indicators bish
HEB ripping up 23% now in that one .25 to .305 still holding,1,heb ripping up 23% now in that one .25 to .305 still holding
Seems AAP is losing strength to go higher.,-1,seems aap is losing strength to go higher.
AAP Added to my short,-1,aap added to my short
 from watch list on volume of 50% of ave full day a bit over line  ,1,from watch list on volume of 50% of ave full day a bit over line
AAP DownTend seem confirmed after broken the triangle...,-1,aap downtend seem confirmed after broken the triangle...
You have to wonder where Fidelity Contrafund added more where they reduced their AAP. It sure looks like GOOG,1,you have to wonder where fidelity contrafund added more where they reduced their aap. it sure looks like goog
FIO im in ONG for 24 - 28  untill March 2013,1,fio im in ong for 24 28 untill march 2013
NGT Nice bounce off gap fill... good to reshort into JPM move,-1,ngt nice bounce off gap fill... good to reshort into jpm move
CF if we open green here tomorrow we should see test to 40 looking to be setting up again.,1,cf if we open green here tomorrow we should see test to 40 looking to be setting up again.
GOOG I expect a new 52 week highs in the coming weeks.,1,goog i expect a new 52 week highs in the coming weeks.
Two trades I'm eying GOOG and GD.,1,two trades im eying goog and gd.
"COMPQ on a mission to 52 Week Highs...With,...or Without... AAP. Juuuuust aaaanooootherrrrrr 1.35%. You can do it!!! ES_F",1,compq on a mission to 52 week highs...with...or without... aap. juuuuust aaaanooootherrrrrr 1.35%. you can do it es_f
AAP GOOG FB IMM - IM dies to reinvent BlackBerry Z10   ,1,aap goog fb imm im dies to reinvent blackberry z10
bgcp nice range break in the works here.   ,1,bgcp nice range break in the works here.
GOOG is hitting its head on the up trend line it broke I like 755 puts GOOG130201P755 at 2.60  ,-1,goog is hitting its head on the up trend line it broke i like 755 puts goog130201p755 at 2.60
FIO huge Mar calls Volume  ONG,1,fio huge mar calls volume ong
"AAP - fired sell signal on hourly, targets 435 area - just shorted it",-1,aap fired sell signal on hourly targets 435 area just shorted it
user: AAP Ok... this action makes no sense. >>>> Yes it make Sense : ook  Daily Volume since 3 days ...,-1,user aap ok... this action makes no sense. yes it make sense ook daily volume since 3 days ...
AAP HOW DAE THEY ONY 38% Profit Margin on 50 BIION/yr!! and a huge bank balance..  Insanity waiting for FB100,1,aap how dae they ony 38% profit margin on 50 biionyr and a huge bank balance.. insanity waiting for fb100
AAP - stock is down 17% from the start of the year.  If you are an institution do you want this on your books at the end of the month?,-1,aap stock is down 17% from the start of the year. if you are an institution do you want this on your books at the end of the month
user: AAP stop kidding yourself . there is no support around here,-1,user aap stop kidding yourself . there is no support around here
"AAP if AAP closes below 455.01, i plan to swing a few puts into the next couple days...",-1,aap if aap closes below 455.01 i plan to swing a few puts into the next couple days...
user: AAP Gap down for sure tommorow,-1,user aap gap down for sure tommorow
"Oh QCOM, you are a thing of beauty!",1,oh qcom you are a thing of beauty
"FIO 15.35 I'm in, I'll ride this one a while, overdone IMHO",1,fio 15.35 im in ill ride this one a while overdone imho
FIO crushed 20%,-1,fio crushed 20%
BYD hopefully VS beat will help this stuck stock move on up.,1,byd hopefully vs beat will help this stuck stock move on up.
CAT 100 roll and poss bearish bat  ,1,cat 100 roll and poss bearish bat
AAP Sinking in after-hour.. Get eady to gap Down  Tomorrow Morning !,-1,aap sinking in afterhour.. get eady to gap down tomorrow morning
yhoo Blackrock increases position SC 13 G filed today. 70 million shares . 5.94%,1,yhoo blackrock increases position sc 13 g filed today. 70 million shares . 5.94%
"Green Weekly Triangle on PBY,....pdating  ",-1,green weekly triangle on pby....pdating
user: Buffett  isn't interested in AAP at this valuation? too much profit and dead capital sitting in a bank overseas ;),1,user buffett isnt interested in aap at this valuation too much profit and dead capital sitting in a bank overseas
user Just an opportunity to buy IMHO BAC was 11.70 monday in pre-market,1,user just an opportunity to buy imho bac was 11.70 monday in premarket
AVNW Over 3.78 then 3.89  ,1,avnw over 3.78 then 3.89
Has anyone shorted KEX? What price?,-1,has anyone shorted kex what price
GV Over 2.80  ,1,gv over 2.80
F Over 7.88  ,1,f over 7.88
San Diego was rocking today....QCOM and BOFI ...Banking and chips. Not the safe bet in 2008...,1,san diego was rocking today....qcom and bofi ...banking and chips. not the safe bet in 2008...
KEY has been holding at support 9.07 but facing resistance at 9.50. On watch.  ,1,key has been holding at support 9.07 but facing resistance at 9.50. on watch.
FIO ong! & Add! Q2 2013 earnings of 0.13 per share on Jan-30-2013. This beat the 0.08 consensus of the 19 analysts covering the company.,1,fio ong add q2 2013 earnings of 0.13 per share on jan302013. this beat the 0.08 consensus of the 19 analysts covering the company.
"FIO Turner Investments and Calamos Advisors purchases in the current quarter at 7.2M shares, 9.32% of it. Blackrock doubled position at 8%",1,fio turner investments and calamos advisors purchases in the current quarter at 7.2m shares 9.32% of it. blackrock doubled position at 8%
A Q4 2012 operational cash flow 35million down from 141mil in Q42011 ..75% decline Q4 vs. Q4....,-1,a q4 2012 operational cash flow 35million down from 141mil in q42011 ..75% decline q4 vs. q4....
A Q4 net income 50 million and operational cash flow 35 million. Q4 2012 is OPS 70% of EPS...in Q4 2011 OPS was 440% higher than EPS,-1,a q4 net income 50 million and operational cash flow 35 million. q4 2012 is ops 70% of eps...in q4 2011 ops was 440% higher than eps
A year end accounts payable increased 43% from 100million to 143million,-1,a year end accounts payable increased 43% from 100million to 143million
FIO azard Capital upgraded Fusion-io to Buy from Neutral with a 23 price,1,fio azard capital upgraded fusionio to buy from neutral with a 23 price
A few names with a Dark Cloud Cover candle pattern: MHO Y SAFT FXS,-1,a few names with a dark cloud cover candle pattern mho y saft fxs
"MCP still mining for asteroids, short update   ",-1,mcp still mining for asteroids short update
A few names with a Bearish Engulfing candle pattern: AEX AFG ASFI ATHN BECN TMH GW FO MHK IBN CS AOS BT AIXG JBHT NHI,-1,a few names with a bearish engulfing candle pattern aex afg asfi athn becn tmh gw fo mhk ibn cs aos bt aixg jbht nhi
"user KiwiS hello friend, did you see CSN pre-market today, untouchable situation!",-1,user kiwis hello friend did you see csn premarket today untouchable situation
More names with a Bearish Engulfing candle pattern:IBT BECN AYI HCG MO SG MP EG BMS CEN WIE INE,-1,more names with a bearish engulfing candle patternibt becn ayi hcg mo sg mp eg bms cen wie ine
Trade Ideas for Today  MS ONXX NVE BGCP  ,1,trade ideas for today ms onxx nve bgcp
VXY GS JPM HFT PPT Window Dressing programs online,-1,vxy gs jpm hft ppt window dressing programs online
Published ZNGA estimate on Estimize: +0.02 EPS and +6.09M evs compared to Wall Street's consensus.  ,1,published znga estimate on estimize 0.02 eps and 6.09m evs compared to wall streets consensus.
AAP 600 lot bid in the weekly 460C at 2.73. 44 delta could temporarily push stock up or create support,1,aap 600 lot bid in the weekly 460c at 2.73. 44 delta could temporarily push stock up or create support
CAT Bullish MACD crossover.,1,cat bullish macd crossover.
I am calling on CSN for a ed MONTHY Triangle open ong position at 1.65,1,i am calling on csn for a ed monthy triangle open ong position at 1.65
JVA 7.25 TZOO 21.50 IDCC 43.35 CF 37 BT 25 looking good here,1,jva 7.25 tzoo 21.50 idcc 43.35 cf 37 bt 25 looking good here
"the man who got me in A at 47 user: A  Nice bounce off of support, after a 25% decline!   ",1,the man who got me in a at 47 user a nice bounce off of support after a 25% decline
AAP break of 453.63 should see retest of 435 lows and lower fairly soon thereafter.,-1,aap break of 453.63 should see retest of 435 lows and lower fairly soon thereafter.
"NFX Netflix, Inc. (NFX) Increased Debt Causes Concern [EPOT]  ",-1,nfx netflix inc. nfx increased debt causes concern epot
"VIX rising, eaders lagging & reversing on vol, laggards leading, speculative names climaxing. Don't ignore warnings. DDD SODA Y FB",-1,vix rising eaders lagging reversing on vol laggards leading speculative names climaxing. dont ignore warnings. ddd soda y fb
CBMX B/O smart money coming in this afternoon looking for a push to 200day this low float could 6 by the end of wk little resistance there,1,cbmx bo smart money coming in this afternoon looking for a push to 200day this low float could 6 by the end of wk little resistance there
user: Apple AAP Is it Time to econsider a Stock Split?  10:1 would solve this problem FOEVE!,1,user apple aap is it time to econsider a stock split 101 would solve this problem foeve
Four Bearish Canaries In the Bullish Coal Mine  AAP TIP KOS SPY,-1,four bearish canaries in the bullish coal mine aap tip kos spy
AAP --  mac world maybe TC will anounce the i-time-machine... boom we are all rich again!,1,aap mac world maybe tc will anounce the itimemachine... boom we are all rich again
"K: ong  53.69. Trailing Stop  53.24 from 3 prior Stops of 52.16, 51.25 and 51.05 -  ",1,k ong 53.69. trailing stop 53.24 from 3 prior stops of 52.16 51.25 and 51.05
fnsr great intraday look..,1,fnsr great intraday look..
PCN Just trying to keep it simple and potentially capture the primary trend.  ,1,pcn just trying to keep it simple and potentially capture the primary trend.
PM 1H. hold 2/3 til close monday PM (21 bars) and 3PM on wednesday (34 bars) for the balance.  ,1,pm 1h. hold 23 til close monday pm 21 bars and 3pm on wednesday 34 bars for the balance.
"user: AN AutoNation Stoploss in 47.46, after beating 47.90",1,user an autonation stoploss in 47.46 after beating 47.90
VS is breaking out !!  ,1,vs is breaking out
i'd short AAP right here if I wanted to put more positions on. (455.51),-1,id short aap right here if i wanted to put more positions on. 455.51
APO - Short setup off the 50DMA in a weak group. Downside 15.50 initially.  ,-1,apo short setup off the 50dma in a weak group. downside 15.50 initially.
KSS has been on a nice uptrend since bottoming out in early January.  Picked up some for my roth around 43.50. Slow mover but 50 possible.,1,kss has been on a nice uptrend since bottoming out in early january. picked up some for my roth around 43.50. slow mover but 50 possible.
"TIVO BY!  Price action? Check - breaking out above 12.95. Volume?  Check, 2x avg.",1,tivo by price action check breaking out above 12.95. volume check 2x avg.
AT Declining growth & margins. Head & Shoulders setup. PE contraction Downside Price Target 25.  ,-1,at declining growth margins. head shoulders setup. pe contraction downside price target 25.
AMZN ooks like the stock has topped out for now. Today is another distribution day.  ,-1,amzn ooks like the stock has topped out for now. today is another distribution day.
A Did you Know.... YHOO is down 1.5% for month of January,1,a did you know.... yhoo is down 1.5% for month of january
The second best Steve...Steve Wynn on tap today  - after the bell - and netsuite (enterprise)  N WYNN,1,the second best steve...steve wynn on tap today after the bell and netsuite enterprise n wynn
Gap backfill in FIE?,-1,gap backfill in fie
NFX Keep in mind that 500 lot offered in the 150P at 7.75. Stock was at 163.70 when he offered now at 167 ook for him if stock goes dwn,1,nfx keep in mind that 500 lot offered in the 150p at 7.75. stock was at 163.70 when he offered now at 167 ook for him if stock goes dwn
ASGN from the watch list is at the line on volume of 81% of ave full day   ,1,asgn from the watch list is at the line on volume of 81% of ave full day
"OCZ pleasantly surprised that FIO results did not affect this one more.  Shook me out of 1/2 my position, but still bullish",1,ocz pleasantly surprised that fio results did not affect this one more. shook me out of 12 my position but still bullish
user Not yet sir... The jury is still out on ANA. CSN is plain old fraud!!!,1,user not yet sir... the jury is still out on ana. csn is plain old fraud
AMZN I am riding the remaining positions with stop  above 290. ooks like the chickens are coming home to roost.,-1,amzn i am riding the remaining positions with stop above 290. ooks like the chickens are coming home to roost.
yhoo Business Insider post about yhoo out this afternoon. would be beautiful if aapl met with Marissa,1,yhoo business insider post about yhoo out this afternoon. would be beautiful if aapl met with marissa
GV of new buys this was the largest % gainer today - also was a fav as it was a pullback reversal  ,1,gv of new buys this was the largest % gainer today also was a fav as it was a pullback reversal
user Tried to buy a ange over and got frustrated. Very ong EBAY,1,user tried to buy a ange over and got frustrated. very ong ebay
WYNN aises Dividend from 0.50 to 1/Share >> CC was quite bullish on all fronts & analysts seen enthused,1,wynn aises dividend from 0.50 to 1share cc was quite bullish on all fronts analysts seen enthused
TPX my move is in play - motion to 35 then 33 and will cover,-1,tpx my move is in play motion to 35 then 33 and will cover
CEE this is about to tip over the edge and go over the falls target 39,-1,cee this is about to tip over the edge and go over the falls target 39
"user ots of ppl r making the move to Samsung, I was going to EWY as AAP started reducing ipad screen size & calling them new models.",-1,user ots of ppl r making the move to samsung i was going to ewy as aap started reducing ipad screen size calling them new models.
"Watching A DMND for low entry points. A replaced CSCO with the State of California, C and CS contracts. May see some pops later on",1,watching a dmnd for low entry points. a replaced csco with the state of california c and cs contracts. may see some pops later on
"user Class action against DE may be the reason. Search: Mohan, et al. v Dell Inc Case for details.",-1,user class action against de may be the reason. search mohan et al. v dell inc case for details.
"IACI short setup, bear flag up into neckline from last week  ",-1,iaci short setup bear flag up into neckline from last week
"Green Weekly Triangle on SHO,....pdating and Scaling Down  ",-1,green weekly triangle on sho....pdating and scaling down
Market Wrap Video + Additions to Watch ist  including: BYD INFN JNP SE TGH HS,1,market wrap video additions to watch ist including byd infn jnp se tgh hs
Video Analysis of our 16% 3 day trade by shorting AMZN  ,-1,video analysis of our 16% 3 day trade by shorting amzn
What are you thinking on a GOOG entry? A close above 765 or 776 ?,1,what are you thinking on a goog entry a close above 765 or 776
zzzactly user: Watch as China has grown to become Apple's second-biggest market:  AAP (long),1,zzzactly user watch as china has grown to become apples secondbiggest market aap long
ESPN 30 and 30 is magical.  Serious family entertainment.  The future of content and TV and web is so bright mixed well DIS,1,espn 30 and 30 is magical. serious family entertainment. the future of content and tv and web is so bright mixed well dis
wow TV is underrated and underloved....looking at stock prices I am sick that I missed this hate trade in 2009 .. CBS DIS,1,wow tv is underrated and underloved....looking at stock prices i am sick that i missed this hate trade in 2009 .. cbs dis
INFN  Over 7.20  ,1,infn over 7.20
The AAP drop will stop only when Wall Street and sellers stop fearing the margin drop...take a look  ,1,the aap drop will stop only when wall street and sellers stop fearing the margin drop...take a look
High quality stocks producing pocket pivot points on Thursday: ABT GPN ASGN OCN MTH OY NGVC WEC TY WYNN VS PFMT TTS STDY,1,high quality stocks producing pocket pivot points on thursday abt gpn asgn ocn mth oy ngvc wec ty wynn vs pfmt tts stdy
TM - ahhh! stupid prelim results! short but wanted to add puts before earnings...,-1,tm ahhh stupid prelim results short but wanted to add puts before earnings...
user: AAP 40 minutes to get it over 460 pre-market !  ot of fools will B toast !,-1,user aap 40 minutes to get it over 460 premarket ot of fools will b toast
"ES,SPY  You wont here this on CNBC,,,real time assessment of jobs number mkt reactions...  ",-1,esspy you wont here this on cnbcreal time assessment of jobs number mkt reactions...
N from watch list with a big gap up this morning   ,1,n from watch list with a big gap up this morning
MS from watch list at the line with volume of 4% ave full day   ,1,ms from watch list at the line with volume of 4% ave full day
ESI from watch list at the lower of 2 lines on volume of 11% of full day average  ,1,esi from watch list at the lower of 2 lines on volume of 11% of full day average
F from watch list at the line with volume of 4% of full day average  ,1,f from watch list at the line with volume of 4% of full day average
AAP PMI Manufacturing Index ---> In Few minutes...,-1,aap pmi manufacturing index in few minutes...
AAP If PMI Manufacturing Index eslts are Bad = Below 450 ???,-1,aap if pmi manufacturing index eslts are bad below 450
AAP no longer trending finally ppl get the hint. The growth and innovation story is over... PT 375 fair value,-1,aap no longer trending finally ppl get the hint. the growth and innovation story is over... pt 375 fair value
user EMN Eastman Stoploss in 72.31 after beating 72.98,1,user emn eastman stoploss in 72.31 after beating 72.98
JCC and VNG at 3 right in my wheel house,1,jcc and vng at 3 right in my wheel house
user: AAP How come the spy goes up daily and AAPl down //  No More Growth !!!,-1,user aap how come the spy goes up daily and aapl down no more growth
GOOG will make new highs soon. Surprisingly option premiums are very cheap.,1,goog will make new highs soon. surprisingly option premiums are very cheap.
GME really nice pop today after that intraday reversal yesterday afternoon,1,gme really nice pop today after that intraday reversal yesterday afternoon
AAP Nothings goes Straight Down or Straight High.. It's the Main Trend AND Volume you have to look for...,-1,aap nothings goes straight down or straight high.. its the main trend and volume you have to look for...
"user: AAP people think growth slowing  is not true bec this quarter was only 13 weeks,?// ook Year Over Year for Same Quarter.",-1,user aap people think growth slowing is not true bec this quarter was only 13 weeks ook year over year for same quarter.
GOOG only 10 points away from new hold time highs. This market leader continues to lead  ,1,goog only 10 points away from new hold time highs. this market leader continues to lead
